id, x, y, freq, label
300, 17.890604, -12.456011, 144, almost
301, 10.291866, -2.940386, 92, ten
302, 21.938494, -12.532106, 548, years
303, 9.010968, -35.717140, 62, learned
304, 12.120188, -34.417263, 72, look
305, -53.116127, 36.185917, 16, buried
306, -13.648609, -25.342173, 248, county
307, -3.844683, -25.509790, 84, federal
308, -12.746523, -31.189384, 56, archives
309, -6.111105, -52.915581, 62, read
310, -11.134409, -25.266201, 106, records
311, -39.295944, -60.465549, 32, lobotomies
312, -61.527950, 15.674216, 16, performed
313, -47.769131, -40.972775, 32, hospitals
314, 3.351046, -47.278214, 38, key
315, 15.224406, 34.789028, 10, disappeared
316, -52.860008, -13.306732, 28, scene
317, 12.098467, -6.912040, 142, sometimes
318, -9.556509, -4.320685, 440, told
319, -0.811804, -25.514771, 116, sent
320, -30.239529, 29.823240, 14, video
321, -52.567909, 43.454346, 12, cameras
322, 7.688237, -47.643646, 52, record
323, -15.365020, -46.353142, 52, interviews
324, 20.285046, -13.136997, 246, old
325, 15.964875, -13.016218, 216, young
326, 18.174519, 39.495590, 14, brand
327, -11.977573, -61.780407, 50, queer
328, 8.063844, -10.304760, 100, side
329, -15.785569, -3.548769, 358, northwest
330, -54.874378, -19.170315, 30, happy
331, 5.314544, -14.715663, 82, past
332, 7.824038, -35.111553, 74, decade
333, 9.982335, -3.943134, 226, since
334, 9.879104, -2.739018, 170, book
335, -2.470766, -8.240959, 350, well
336, -9.816164, -48.676258, 56, received
337, -67.016991, -2.964471, 22, collected
338, 4.757604, -5.860320, 164, several
339, -12.523028, 35.654198, 12, awards
340, -1.404040, -11.106335, 268, among
341, -30.695995, -42.658680, 28, award
342, 2.297774, -4.545148, 384, called
343, -58.956284, -42.549156, 24, importance
344, -57.940987, -27.230553, 22, subject
345, 56.627659, -38.153141, 6, quality
346, -12.284727, -7.016639, 936, also
347, 0.487968, -14.482613, 180, good
348, -51.704903, -4.782534, 20, share
349, -51.492905, -31.646717, 26, critical
350, -11.064716, 39.377438, 10, praise
351, 25.725544, 46.279728, 6, journalists
352, -56.376717, -28.593267, 16, academic
353, -35.900333, 45.524422, 16, admit
354, 16.317415, -11.396349, 166, though
355, 7.676060, -41.335953, 60, join
356, 48.122643, 0.445156, 6, shelves
357, 27.956549, 49.136997, 8, wished
358, -12.972054, 56.051224, 4, mobile
359, 12.339247, -11.631752, 144, kind
360, 19.955786, -8.035630, 986, could
361, -38.462532, -56.870934, 34, easily
362, -60.047176, 8.642108, 14, carry
363, 51.235210, -8.491714, 6, bend
364, -52.015194, -32.993179, 28, feeling
365, -1.251680, -59.560047, 42, guilty
366, 41.011665, 18.054495, 4, x
367, 5.754356, -11.238395, 186, decided
368, -3.764449, -13.402947, 134, issue
369, 56.513634, -38.947525, 6, edi
370, 6.077871, -28.247402, 96, tion
371, 0.248900, -47.937183, 64, original
372, -63.768410, -29.748783, 30, bring
373, 21.056498, -12.944875, 50, twenty
374, 10.874728, -23.307421, 100, century
375, 5.224249, -24.239908, 62, whose
376, -13.391431, -22.234400, 100, libraries
377, 52.682117, 22.081512, 10, smart
378, -0.632146, -56.312332, 50, phone
379, 66.155075, -15.223831, 6, device
380, -8.282132, -60.099594, 36, intended
381, 32.602627, 29.166740, 8, revision
382, 26.890804, 35.593842, 8, expansion
383, 10.050054, -31.591330, 82, great
384, -62.524254, 23.514086, 16, detail
385, 10.644150, -19.943129, 118, happened
386, -54.280056, 28.221476, 16, fill
387, 16.620321, -8.384579, 420, still
388, 49.793457, -13.611625, 6, pressing
389, -8.767334, -63.422318, 38, needs
390, 18.153622, 40.452789, 12, rich
391, 42.428764, -29.220358, 6, transgender
392, -4.638316, -8.596193, 274, example
393, 56.158367, -45.931561, 6, tasks
394, 4.783995, -20.471834, 96, better
395, 7.078126, -7.304667, 198, left
396, -64.589462, -8.800562, 22, entirely
397, -0.864598, -46.522781, 52, books
398, 1.471002, -57.685089, 46, types
399, -10.945569, -12.180617, 100, media
400, 60.459709, 2.492083, 6, platforms
401, 10.079466, -23.668013, 78, however
402, 7.150081, -19.654451, 154, want
403, 56.501995, -39.495060, 6, update
404, 3.061452, -53.329521, 62, ways
405, -58.109203, -9.662348, 18, saga
406, 9.186922, 37.960461, 10, unfolded
407, -9.403467, -49.581570, 50, closed
408, -0.590315, -35.545967, 12, mid
409, 1.093618, -26.256912, 90, november
410, 56.593517, 12.424061, 8, determining
411, -23.363871, 34.384758, 16, fate
412, 10.520212, -36.494366, 58, referendum
413, 3.478075, -9.949636, 182, vote
414, -65.767395, 6.312492, 26, decide
415, 15.734815, -7.564876, 204, whether
416, -39.483059, -58.153957, 32, adults
417, -0.123003, -43.922817, 58, equal
418, -15.678801, -11.923905, 322, civil
419, 4.456769, -10.198690, 188, right
420, -62.607758, -10.415496, 28, marry
421, 12.061210, -37.046291, 58, per
422, -5.034863, -57.497093, 40, son
423, 11.596559, -16.430897, 104, love
424, -10.328362, -26.479212, 106, legislature
425, -55.049217, -36.038193, 26, approved
426, 5.365024, -34.900082, 86, idea
427, 0.620435, -32.927715, 66, voters
428, -38.753330, -54.987732, 28, chance
429, 7.720206, -9.218999, 164, although
430, 19.728573, -12.722492, 86, six
431, -12.908924, -23.164782, 186, district
432, -40.706104, -18.260813, 20, columbia
433, 19.318005, -8.118620, 490, sex
434, -10.260672, -21.918446, 224, marriage
435, 1.972357, -50.177502, 40, courts
436, 68.104630, -26.560879, 18, legislatures
437, 13.999882, -11.001677, 310, made
438, -56.646763, -43.198036, 24, decisions
439, 16.078300, -16.297699, 572, time
440, -6.267682, -60.702473, 34, direct
441, 20.851553, 47.227825, 6, majorities
442, -44.331181, -51.956203, 26, rejected
443, -20.706163, -57.725018, 40, marriages
444, -44.402981, -47.450928, 28, respect
445, -43.981476, -52.383389, 36, situation
446, 8.896643, -14.046161, 220, end
447, -49.101151, -41.354012, 22, sim
448, -2.206847, 60.132050, 8, ilar
449, -58.731476, 23.727804, 20, encountered
450, 19.204271, -13.010663, 144, earlier
451, -29.136358, 49.746136, 14, outcome
452, -12.200277, -11.144064, 16, anti
453, -5.141924, -12.972052, 270, council
454, 6.801486, -11.638676, 122, decision
455, -66.043640, -23.455799, 24, add
456, 7.295833, -53.810921, 86, orientation
457, -54.549763, 20.746363, 24, discriminated
458, 2.581781, -8.764470, 126, housing
459, -36.529285, -43.396809, 36, employment
460, -6.846601, -25.299761, 102, across
461, 8.311199, -37.036095, 58, country
462, 5.300478, -35.551208, 74, opponents
463, -47.194847, -28.542967, 28, protections
464, -0.971680, -10.161233, 0, lesbians
465, -47.016037, -20.997107, 24, successfully
466, 6.281483, -12.415373, 140, every
467, -12.500073, -55.934784, 50, similar
468, -10.183895, -4.675039, 234, story
469, 1.508123, -11.768558, 366, became
470, -6.365541, -60.623631, 54, cities
471, -46.801697, -20.760099, 30, retain
472, -60.138874, 1.259837, 14, breaking
473, -10.821368, -51.631020, 36, opposition
474, -7.843185, -13.139012, 142, chapter
475, 8.980084, -24.270781, 86, majority
476, 4.757328, -52.066704, 42, upon
477, 0.002338, -43.444443, 86, minority
478, 13.198694, -15.202422, 106, course
479, 4.755122, -13.324048, 120, especially
480, -39.549049, -54.461021, 24, deeply
481, -43.089455, -48.135494, 20, trained
482, 5.844330, -19.084248, 118, particular
483, -10.662605, -26.895084, 68, historical
484, -16.072512, -68.516243, 30, cultural
485, -13.520033, -3.105397, 818, see
486, 53.835087, -22.903494, 8, possibilities
487, 14.853013, -9.255688, 372, way
488, -63.990253, -10.098275, 22, possibility
489, 8.726433, -9.921165, 98, meant
490, 7.317075, -33.622955, 68, raised
491, 16.537994, -18.915388, 122, days
492, -8.453403, -50.824509, 54, brought
493, 2.247537, -50.001320, 54, mind
494, -18.372223, -66.535629, 32, movie
495, 16.268787, -8.051475, 234, help
496, 64.314857, 10.757104, 6, academy
497, 3.610959, -20.435541, 112, best
498, -48.807400, 21.572603, 22, picture
499, 3.877838, -39.940701, 68, focused
500, 9.789276, 52.032181, 10, tional
501, 5.890209, -7.896844, 100, white
502, 31.545185, 24.153658, 8, bridge
503, 5.671566, -6.277737, 118, club
504, -31.945171, -56.188396, 36, planning
505, 6.045270, -41.502216, 64, families
506, -20.137173, -63.247967, 56, african
507, 67.793709, -4.856055, 8, maids
508, 5.508171, -42.554077, 66, provided
509, 3.800344, -40.758781, 84, outside
510, 33.834438, 50.254459, 10, toilets
511, -0.249523, -15.596309, 92, black
512, -55.974907, -36.849998, 24, banned
513, 7.234244, -18.380156, 104, inside
514, 1.094160, 45.840622, 10, whites
515, 3.011435, -15.133338, 176, woman
516, -39.358189, -39.291870, 28, promoting
517, -34.506657, -61.043789, 24, character
518, 2.228570, -4.419515, 220, named
519, -39.799805, 45.295628, 14, feared
520, -21.296967, -63.089981, 30, allowing
521, 7.405404, -9.086031, 126, use
522, 61.079594, 21.339354, 8, threaten
523, -9.335926, -51.805729, 52, identity
524, -11.796546, -25.768806, 72, superior
525, -14.095702, 49.856369, 14, solution
526, 3.972400, -55.924072, 58, separate
527, 4.368313, -53.706554, 42, supposedly
528, 14.184252, -12.822168, 186, really
529, -35.817371, -42.392029, 36, notion
530, -0.540335, 41.914135, 14, track
531, -54.635445, -0.863818, 12, related
532, -2.677771, -11.636762, 246, early
533, -15.015304, -5.051112, 260, activists
534, -45.076641, 14.433190, 20, supportive
535, -39.035625, -22.306396, 44, legislator
536, -67.744209, 2.415738, 22, pete
537, -6.856473, -28.099274, 80, francis
538, -56.095398, 22.053970, 20, realized
539, 5.376031, -19.948185, 114, actually
540, -16.231337, 49.677525, 16, define
541, 16.078957, -16.462143, 390, man
542, -1.032130, -36.116337, 58, referred
543, 8.399961, -29.751513, 60, persons
544, 16.333048, -19.786274, 122, age
545, -16.667721, -68.306519, 34, otherwise
546, 59.572300, 21.985886, 6, capable
547, -59.625629, -22.172062, 16, assumed
548, 12.201283, -34.090775, 78, involved
549, 7.195965, -18.686371, 92, must
550, -7.427166, -9.020265, 68, jack
551, 30.055706, 13.041372, 10, jill
552, -10.314432, -12.832005, 104, activist
553, 8.964312, -17.334610, 112, taken
554, 6.190166, -6.595929, 162, name
555, -16.725876, -58.899002, 48, singer
556, 38.499695, 32.326160, 12, promptly
557, -9.917684, -33.254154, 58, filed
